State,ZIP Code,Size of AGI,Number of Returns,Adjust Gross Income
AL,35004,1,1510,19351
AL,35004,2,1410,51976
AL,35004,3,950,58988
AL,35004,4,650,56302
AL,35004,5,630,81057
AL,35004,6,60,19929
AL,35005,1,1310,17792
AL,35005,2,960,34741
AL,35005,3,450,27410
AL,35005,4,200,17202
AL,35005,5,180,23653
AL,35005,6,0,0
AL,35006,1,430,5722
AL,35006,2,330,11889
AL,35006,3,190,11830
AL,35006,4,120,10779
AL,35006,5,130,16894
AL,35006,6,0,0
AL,35007,1,4070,48951
AL,35007,2,2650,96474
AL,35007,3,1820,112195
AL,35007,4,1340,116306
AL,35007,5,1820,237397
AL,35007,6,240,78251
AL,35010,1,3620,48631
AL,35010,2,2070,73020
AL,35010,3,890,54833
AL,35010,4,530,45354
AL,35010,5,620,81780
AL,35010,6,180,76419
AL,35014,1,660,8620
AL,35014,2,460,16221
AL,35014,3,210,13109
AL,35014,4,140,11961
AL,35014,5,120,15864
AL,35014,6,30,8697
AL,35016,1,2810,34992
AL,35016,2,1730,62655
AL,35016,3,1060,65116
AL,35016,4,680,58232
AL,35016,5,720,94417
AL,35016,6,130,47699
AL,35019,1,360,4731
AL,35019,2,250,9107
AL,35019,3,140,8519
AL,35019,4,60,5051
AL,35019,5,80,11172
AL,35019,6,0,0
AL,35020,1,5450,74874
AL,35020,2,2470,85962
AL,35020,3,720,42946
AL,35020,4,230,19798
AL,35020,5,160,20265
AL,35020,6,20,5630
AL,35022,1,3240,42068
AL,35022,2,2430,88746
AL,35022,3,1610,98727
AL,35022,4,1020,88091
AL,35022,5,1300,172609
AL,35022,6,200,55958
AL,35023,1,3690,49307
AL,35023,2,2910,105596
AL,35023,3,1550,95157
AL,35023,4,930,80096
AL,35023,5,900,114801
AL,35023,6,70,20677
AL,35031,1,1190,15345
AL,35031,2,810,29061
AL,35031,3,430,25650
AL,35031,4,230,19971
AL,35031,5,180,23303
AL,35031,6,20,6584
AL,35033,1,460,5789
AL,35033,2,380,13598
AL,35033,3,210,12735
AL,35033,4,150,12993
AL,35033,5,140,17830
AL,35033,6,40,17698
AL,35034,1,700,9402
AL,35034,2,370,12927
AL,35034,3,160,9666
AL,35034,4,80,6900
AL,35034,5,80,13017
AL,35034,6,0,0
AL,35035,1,230,2905
AL,35035,2,150,5257
AL,35035,3,80,5165
AL,35035,4,50,4374
AL,35035,5,60,19214
AL,35035,6,0,0
AL,35040,1,2360,30658
AL,35040,2,2190,81092
AL,35040,3,1410,86352
AL,35040,4,790,68532
AL,35040,5,760,96251
AL,35040,6,80,34257
AL,35042,1,890,11793
AL,35042,2,570,20889
AL,35042,3,320,19986
AL,35042,4,190,16470
AL,35042,5,210,27323
AL,35042,6,20,6050
AL,35043,1,1310,14487
AL,35043,2,820,30181
AL,35043,3,690,42561
AL,35043,4,710,62709
AL,35043,5,1270,173223
AL,35043,6,270,93465
AL,35044,1,1390,17999
AL,35044,2,810,29255
AL,35044,3,390,24035
AL,35044,4,220,18869
AL,35044,5,220,28703
AL,35044,6,30,8285
AL,35045,1,2340,30661
AL,35045,2,1420,51212
AL,35045,3,750,46023
AL,35045,4,460,40307
AL,35045,5,460,58536
AL,35045,6,70,28075
AL,35046,1,870,11165
