Zip Code,State,Population,Median Age,Per Capita Income,Poverty Count
01001,MA,17423,45,30430,1462
01002,MA,29970,23.2,26072,8351
01003,MA,11296,19.9,3829,54
01005,MA,5228,44.1,32169,230
01007,MA,14888,42.5,36359,1410
01008,MA,1194,48.5,34505,49
01009,MA,237,62.2,26150,105
01010,MA,3718,46.6,38693,95
01011,MA,1523,41,29951,110
01012,MA,528,50.5,34032,60
01013,MA,22943,35,21677,4233
01020,MA,30629,44.5,29705,3166
01022,MA,2528,41.1,26605,644
01026,MA,1018,51.2,28269,45
01027,MA,17872,45.1,33598,1774
01028,MA,16063,46,39282,677
01029,MA,760,47.9,32415,96
01030,MA,11278,44.9,32812,1124
01031,MA,1192,43.2,26153,268
01032,MA,590,49.3,36045,15
01033,MA,6310,45.5,39115,290
01034,MA,2323,46.6,32783,230
01035,MA,5338,46.3,40287,384
01036,MA,5190,48.7,38547,256
01037,MA,755,50.3,33913,86
01038,MA,2853,50.7,35804,157
01039,MA,1194,54,43845,78
01040,MA,40280,34.4,21897,11227
01050,MA,2343,45.7,29854,221
01053,MA,1697,49.8,30391,251
01054,MA,1972,48,45344,84
01056,MA,21352,44.2,31897,1124
01057,MA,8773,45.5,33763,496
01060,MA,15407,35,35487,2258
01062,MA,10867,43.8,39024,1445
01063,MA,563,20.3,3134,0
01068,MA,1825,45,34288,62
01069,MA,8753,44,30199,591
01070,MA,562,52.7,30773,60
01071,MA,1271,47.9,34924,17
01072,MA,1542,46.8,36704,187
01073,MA,6081,48.4,44278,251
01074,MA,228,35.2,16890,0
01075,MA,17770,40.8,30822,1524
01077,MA,9650,45.7,36861,554
01079,MA,811,42.8,24201,74
01080,MA,2452,33.5,23489,773
01081,MA,1823,43.5,25679,100
01082,MA,10612,43.2,27773,1434
01083,MA,3148,36.3,22559,245
01084,MA,154,61.5,50727,0
01085,MA,41479,39,29597,3679
01086,MA,690,19.2,3293,0
01088,MA,433,53.1,34560,33
01089,MA,28575,39.1,28438,3733
01092,MA,1191,46.8,40211,176
01093,MA,289,54.1,48793,16
01094,MA,347,53.7,29174,26
01095,MA,14569,47.6,40989,547
01096,MA,2564,44.3,33768,224
01097,MA,78,19.7,9374,42
01098,MA,1117,50,41124,65
01103,MA,2430,33.3,21928,1333
01104,MA,23183,35.2,18983,7215
01105,MA,11576,30.6,13855,6260
01106,MA,15983,46.4,52705,640
01107,MA,11474,29.1,13711,5176
01108,MA,28449,31.4,18466,8447
01109,MA,30139,27.4,14977,8147
01118,MA,14293,38.6,27870,2027
01119,MA,13091,35.4,22333,1952
01128,MA,2695,47.6,33845,58
01129,MA,7220,41.5,27405,1010
01151,MA,9295,32,16820,2611
01201,MA,45001,43.4,28433,7152
01220,MA,8266,45.1,27309,852
01222,MA,829,49.2,41175,45
01223,MA,2247,52.2,39324,129
01224,MA,176,49.9,23039,20
01225,MA,3192,49,32108,154
01226,MA,6885,47.2,32405,732
01229,MA,102,62.8,19587,5
01230,MA,8195,49.4,35371,439
01235,MA,2666,47.6,32438,185
01236,MA,1422,42.3,32117,20
01237,MA,2755,43.3,31664,123
01238,MA,5950,48.7,35946,607
01240,MA,4592,58.3,48764,353
01242,MA,429,32,25313,3
01243,MA,381,56.4,46979,26
01244,MA,82,60.3,51809,9
01245,MA,870,54.7,42633,106
01247,MA,15725,44.4,23957,2580
01253,MA,734,51.9,39333,20
01254,MA,985,58.7,67264,68
01255,MA,869,50.5,36881,36
01256,MA,764,47.9,27351,58
01257,MA,2164,52.6,34538,341
01258,MA,359,63,45881,29
01259,MA,556,60.2,56822,40
01260,MA,545,42.9,26842,26
01262,MA,1196,54.3,38899,164
01264,MA,161,61.4,45563,26
01266,MA,1380,56.6,46857,64
01267,MA,7846,31.2,30864,584
01270,MA,814,51.2,38157,70
01301,MA,17730,42.6,28633,2217
01330,MA,1468,50.2,40071,81
01331,MA,13205,43.9,25349,2020
01337,MA,2598,50.6,33697,188
01338,MA,138,60.6,25680,5
01339,MA,1461,49.4,31610,152
01340,MA,1689,51.9,29598,212
01341,MA,1716,50.2,44806,48
01342,MA,1768,47.4,46922,164
01343,MA,46,59.1,40280,0
01344,MA,1582,41.6,27271,201
01346,MA,465,50.1,33586,49
01347,MA,133,38.9,19143,22
01349,MA,1106,42.1,25594,47
01350,MA,95,45.5,22175,6
01351,MA,2312,46.4,39407,190
01354,MA,1656,44.4,33295,132
01355,MA,915,51.5,36187,56
01360,MA,3006,45.7,33157,127
01364,MA,7832,46.5,22077,1049
01366,MA,1202,50.5,35322,55
01367,MA,686,42.2,25178,151
01368,MA,1363,48.3,28429,138
01370,MA,3879,51.4,36488,378
01373,MA,4184,46.8,36138,234
01375,MA,3673,27.7,34286,645
01376,MA,5101,43.8,25130,1038
01378,MA,734,54.8,31262,64
01379,MA,775,52,29457,126
01420,MA,40441,34.6,23622,7368
01430,MA,6171,42.3,35860,375
01431,MA,3196,45.4,32514,246
01432,MA,7594,38.8,42565,899
01434,MA,1716,43,15055,150
01436,MA,3823,40.8,28266,328
01438,MA,635,48.4,27062,161
01440,MA,20334,39.8,24680,3637
01450,MA,11182,45.1,50656,441
01451,MA,4629,47.6,64234,201
01452,MA,4537,44.5,34042,223
01453,MA,41336,40.8,29527,5604
01460,MA,9538,45.2,49488,268
01462,MA,11087,45.7,40771,809
01463,MA,12031,43.5,37824,589
01464,MA,7433,43,29748,622
01467,MA,560,51,47052,84
01468,MA,3704,47.7,37560,201
01469,MA,7430,39.3,35376,373
01473,MA,7480,44.7,41812,210
01474,MA,1939,46.2,50984,52
01475,MA,10613,42.3,27530,1225
01501,MA,16239,45.7,35524,717
01503,MA,3061,47.3,47905,102
01504,MA,9068,41.1,33253,501
01505,MA,4480,44.5,47595,151
01506,MA,3386,41.5,34450,363
01507,MA,13292,43.7,37512,605
01510,MA,13759,39.3,30955,1354
01515,MA,2259,42.2,34639,106
01516,MA,8689,41.5,35436,268
01518,MA,3009,43,38091,179
01519,MA,6548,42.3,47905,273
01520,MA,14880,41.5,41699,490
01521,MA,2374,45.1,35363,120
01522,MA,3380,41.7,42394,248
01523,MA,7811,38.2,33078,521
01524,MA,6649,45.1,32164,530
01525,MA,128,48.6,40023,0
01527,MA,13431,42.8,34857,896
01529,MA,3218,41.5,34255,225
01531,MA,1106,48,36314,64
01532,MA,14846,43.2,46860,465
01534,MA,6406,44.3,44261,499
01535,MA,4761,44.1,30530,245
01536,MA,7557,41.4,41970,651
01537,MA,2671,33.3,28702,364
01540,MA,10921,41.2,29422,1046
01541,MA,3451,45.8,54940,226
01542,MA,2366,47,36454,27
01543,MA,8402,39.5,36917,182
01545,MA,36103,40.8,44402,1391
01550,MA,16824,38.5,24724,2728
01560,MA,4504,36.8,39644,339
01561,MA,249,59.6,31381,16
01562,MA,11801,42.5,30409,1320
01564,MA,7954,44.9,47551,433
01566,MA,6442,43.1,43514,162
01568,MA,7532,40.8,45515,361
01569,MA,13881,39.4,34655,1122
01570,MA,16838,40.7,26356,2170
01571,MA,11608,38,29785,948
01581,MA,18706,40.1,46782,857
01583,MA,7602,38.8,27467,389
01585,MA,4606,49.1,31640,316
01588,MA,9731,38.5,31274,791
01590,MA,9184,44,41891,186
01602,MA,23812,40.3,33417,2979
01603,MA,20505,36.3,22724,4471
01604,MA,35866,34.8,26263,6897
01605,MA,28696,31.3,20729,7360
01606,MA,19258,40.4,34426,1910
01607,MA,8636,35.4,25439,1695
01608,MA,3511,27.5,12874,1764
01609,MA,19982,30.6,27559,3933
01610,MA,23919,28.3,15359,7129
01611,MA,2466,41.3,34645,113
01612,MA,4889,38.8,37695,156
01701,MA,32061,44.7,47041,1442
01702,MA,38781,34.3,28353,6187
01718,MA,526,41.1,59295,56
01719,MA,5287,41.6,57192,247
01720,MA,22638,43.4,59593,651
01721,MA,17420,42.1,50097,655
01730,MA,14018,43.3,55262,385
01731,MA,1957,21.6,25069,94
01740,MA,5113,42.3,54767,79
01741,MA,5125,49.6,83920,113
