Zip Code,Area
32102,Astor
32159,Lady Lake
32701,Altamonte Springs
32702,Altoona
32703,Apopka
32707,Casselberry
32708,Winter Springs
32709,Christmas
32712,Apopka
32714,Altamonte Springs
32726,Eustis
32730,Fern Park
32732,Geneva
32735,Grand Island
32736,Eustis
32746,Lake Mary
32750,Longwood
32751,Maitland
32757,Mount Dora
32765,Oviedo
32766,Oviedo
32767,Lake Kathryn
32771,Sanford
32773,Sanford
32776,Sorrento
32778,Tavares
32779,Wekiwa Springs
32784,Umatilla
32789,Winter Park
32792,Winter Park
32798,Zellwood
32801,Orlando
32803,Orlando
32804,Orlando
32805,Orlando
32806,Orlando
32807,Orlando
32808,Pine Hills
32809,Pine Castle
32810,Lockhart
32811,Orlando
32812,Orlando
32814,Orlando
32817,Orlando
32818,Pine Hills
32819,Orlando
32820,Bithlo
32821,Orlando
32822,Orlando
32824,Meadow Woods
32825,Orlando
32826,University
32827,Orlando
32828,Alafaya
32829,Orlando
32830,Orlando
32831,Orlando
32832,Orlando
32833,Wedgefield
32835,Orlando
32836,Orlando
32837,Orlando
32839,Orlando
33848,Intercession City
34705,Astatula
34711,Clermont
34714,Four Corners
34715,Minneola
34731,Fruitland Park
34734,Gotha
34736,Groveland
34737,Howey In The Hills
34739,Kenansville
34741,Kissimmee
34743,Buenaventura Lakes
34744,Kissimmee
34746,Kissimmee
34747,Celebration
34748,Leesburg
34753,Mascotte
34756,Montverde
34758,Poinciana
34760,Oakland
34761,Ocoee
34762,Okahumpka
34769,St. Cloud
34771,Saint Cloud
34772,St. Cloud
34773,Saint Cloud
34786,Lake Butler
34787,Winter Garden
34788,Leesburg
34797,Yalaha
