Year,Count
1971,"	1"
1972,"	1"
1973,"	1"
1974,"	1"
1975,"	1"
1976,"	1"
1977,"	1"
1978,"	1"
1979,"	1"
1980,"	1"
1981,"	1"
1982,"	1"
1983,"	1"
1984,"	3"
1985,"	3"
1986,"	3"
1987,"	17"
1988,"	33"
1989,"	55"
1990,"	84"
1991,"	116"
1992,"	165"
1993,"	272"
1994,"	425"
1995,"	677"
1996,"	1015"
1997,"	1412"
1998,"	1886"
1999,"	2498"
2000,"	3501"
2001,"	4709"
2002,"	5886"
2003,"	7225"
2004,"	8569"
2005,"	10241"
2006,"	12440"
2007,"	15011"
2008,"	16680"
2009,"	16635"
2010,"	16858"
2011,"	17003"
2012,"	18066"
2013,"	19767"
2014,"	21366"
2015,"	22519"
2016,"	25364"
