index,Brand,Ownership Type,City,State/Province,Country,Longitude,Latitude,Continent,Zip Code
11910,Starbucks,Licensed,Anchorage,AK,US,-149.78,61.21,North America,99504
11911,Starbucks,Licensed,Anchorage,AK,US,-149.84,61.14,North America,99507
11912,Starbucks,Licensed,Anchorage,AK,US,-149.85,61.11,North America,99515
11913,Starbucks,Company Owned,Anchorage,AK,US,-149.89,61.13,North America,99515
11914,Starbucks,Company Owned,Anchorage,AK,US,-149.86,61.14,North America,99515
11915,Starbucks,Licensed,Anchorage,AK,US,-149.87,61.19,North America,99508
11916,Starbucks,Licensed,Anchorage,AK,US,-149.82,61.22,North America,99508
11917,Starbucks,Licensed,Anchorage,AK,US,-149.98,61.18,North America,99502
11918,Starbucks,Company Owned,Anchorage,AK,US,-149.88,61.18,North America,99503
11919,Starbucks,Licensed,Anchorage,AK,US,-149.74,61.21,North America,99504
11920,Starbucks,Licensed,Anchorage,AK,US,-149.74,61.2,North America,99504
11921,Starbucks,Licensed,Anchorage,AK,US,-149.84,61.14,North America,99507
11922,Starbucks,Licensed,Anchorage,AK,US,-149.74,61.23,North America,99504
11923,Starbucks,Licensed,Anchorage,AK,US,-149.92,61.14,North America,99515
11924,Starbucks,Company Owned,Anchorage,AK,US,-149.84,61.18,North America,99507
11925,Starbucks,Licensed,Anchorage,AK,US,-149.75,61.23,North America,99506
11926,Starbucks,Licensed,Anchorage,AK,US,-149.96,61.14,North America,99502
11927,Starbucks,Licensed,Anchorage,AK,US,-149.88,61.13,North America,99515
11928,Starbucks,Licensed,Anchorage,AK,US,-149.95,61.15,North America,99502
11929,Starbucks,Licensed,Anchorage,AK,US,-149.98,61.17,North America,99502
11930,Starbucks,Licensed,Anchorage,AK,US,-149.92,61.19,North America,99517
11931,Starbucks,Company Owned,Anchorage,AK,US,-149.74,61.23,North America,99504
11932,Starbucks,Company Owned,Anchorage,AK,US,-149.89,61.22,North America,99501
11933,Starbucks,Licensed,Eagle River,AK,US,-149.57,61.32,North America,99577
11934,Starbucks,Company Owned,Eagle River,AK,US,-149.57,61.33,North America,99577
11935,Starbucks,Licensed,Eagle River,AK,US,-149.55,61.35,North America,99577
11936,Starbucks,Licensed,Fairbanks,AK,US,-147.81,64.84,North America,99709
11937,Starbucks,Licensed,Fairbanks,AK,US,-147.7,64.85,North America,99701
11938,Starbucks,Licensed,Fairbanks,AK,US,-147.82,64.84,North America,99709
11939,Starbucks,Licensed,Fairbanks,AK,US,-147.87,64.82,North America,99709
11940,Starbucks,Licensed,Fairbanks,AK,US,-147.69,64.85,North America,99701
11941,Starbucks,Licensed,Fort Richardson,AK,US,-149.68,61.26,North America,99505
11942,Starbucks,Licensed,Fort Wainwright,AK,US,-147.65,64.83,North America,99703
11943,Starbucks,Licensed,Homer,AK,US,-151.54,59.64,North America,99603
11944,Starbucks,Licensed,Juneau,AK,US,-134.55,58.36,North America,99801
11945,Starbucks,Licensed,Juneau,AK,US,-134.56,58.36,North America,99801
11946,Starbucks,Licensed,Ketchikan,AK,US,-131.67,55.35,North America,99901
11947,Starbucks,Licensed,Kodiak,AK,US,-152.37,57.81,North America,99615
11948,Starbucks,Licensed,North Pole,AK,US,-147.35,64.76,North America,99705
11949,Starbucks,Licensed,Palmer,AK,US,-149.13,61.6,North America,99645
11950,Starbucks,Licensed,Palmer,AK,US,-149.12,61.6,North America,99645
11951,Starbucks,Licensed,Seward,AK,US,-149.43,60.13,North America,99664
11952,Starbucks,Licensed,Soldotna,AK,US,-151.05,60.49,North America,99669
11953,Starbucks,Licensed,Soldotna,AK,US,-151.07,60.48,North America,99669
11954,Starbucks,Company Owned,Wasilla,AK,US,-149.41,61.58,North America,99654
11955,Starbucks,Licensed,Wasilla,AK,US,-149.44,61.58,North America,99654
11956,Starbucks,Licensed,Wasilla,AK,US,-149.41,61.58,North America,99654
11957,Starbucks,Licensed,Wasilla,AK,US,-149.41,61.58,North America,99654
11958,Starbucks,Licensed,Alabaster,AL,US,-86.81,33.23,North America,35007
11959,Starbucks,Company Owned,Alabaster,AL,US,-86.8,33.22,North America,35007
11960,Starbucks,Company Owned,Alabaster,AL,US,-86.83,33.21,North America,35007
11961,Starbucks,Company Owned,Athens,AL,US,-86.95,34.78,North America,35611
11962,Starbucks,Licensed,Auburn,AL,US,-85.46,32.61,North America,36830
11963,Starbucks,Licensed,Auburn,AL,US,-85.48,32.61,North America,36849
11964,Starbucks,Licensed,Auburn,AL,US,-85.49,32.6,North America,36849
11965,Starbucks,Licensed,Bessemer,AL,US,-86.93,33.33,North America,35022
11966,Starbucks,Licensed,Birmingham,AL,US,-86.71,33.43,North America,35242
11967,Starbucks,Company Owned,Birmingham,AL,US,-86.72,33.53,North America,35210
11968,Starbucks,Company Owned,Birmingham,AL,US,-86.8,33.51,North America,35233
11969,Starbucks,Licensed,Birmingham,AL,US,-86.75,33.56,North America,35212
11970,Starbucks,Company Owned,Birmingham,AL,US,-86.83,33.45,North America,35209
11971,Starbucks,Company Owned,Birmingham,AL,US,-86.67,33.42,North America,35242
11972,Starbucks,Licensed,Birmingham,AL,US,-86.78,33.46,North America,35209
11973,Starbucks,Licensed,Birmingham,AL,US,-86.81,33.5,North America,35233
11974,Starbucks,Licensed,Birmingham,AL,US,-86.81,33.5,North America,35203
11975,Starbucks,Company Owned,Birmingham,AL,US,-86.8,33.51,North America,35223
11976,Starbucks,Licensed,Birmingham,AL,US,-86.75,33.56,North America,35212
11977,Starbucks,Licensed,Birmingham,AL,US,-86.79,33.51,North America,35205
11978,Starbucks,Company Owned,Birmingham,AL,US,-86.81,33.4,North America,35216
11979,Starbucks,Company Owned,Birmingham,AL,US,-86.81,33.37,North America,35244
11980,Starbucks,Company Owned,Birmingham,AL,US,-86.8,33.5,North America,35205
11981,Starbucks,Licensed,Birmingham,AL,US,-86.64,33.6,North America,35235
11982,Starbucks,Company Owned,Cullman,AL,US,-86.84,34.15,North America,35055
11983,Starbucks,Company Owned,Daphne,AL,US,-87.91,30.65,North America,36526
11984,Starbucks,Licensed,Decatur,AL,US,-86.96,34.59,North America,35601
11985,Starbucks,Company Owned,Decatur,AL,US,-87.0,34.56,North America,35603
11986,Starbucks,Licensed,Dothan,AL,US,-85.45,31.27,North America,36303
11987,Starbucks,Licensed,Florence,AL,US,-87.68,34.8,North America,35632
11988,Starbucks,Company Owned,Florence,AL,US,-87.64,34.84,North America,35630
11989,Starbucks,Company Owned,Foley,AL,US,-87.68,30.38,North America,36535
11990,Starbucks,Licensed,Fultondale,AL,US,-86.81,33.61,North America,35068
11991,Starbucks,Licensed,Gadsden,AL,US,-86.08,33.99,North America,35904
11992,Starbucks,Company Owned,Gardendale,AL,US,-86.82,33.65,North America,35071
11993,Starbucks,Licensed,Gulf Shores,AL,US,-87.68,30.3,North America,36542
11994,Starbucks,Licensed,Homewood,AL,US,-86.77,33.47,North America,35209
11995,Starbucks,Company Owned,Hoover,AL,US,-86.85,33.36,North America,35244
11996,Starbucks,Company Owned,Hoover,AL,US,-86.7,33.42,North America,35242
11997,Starbucks,Licensed,Hoover,AL,US,-86.83,33.4,North America,35226
11998,Starbucks,Company Owned,Hoover,AL,US,-86.81,33.38,North America,35244
11999,Starbucks,Company Owned,Huntsville,AL,US,-86.59,34.77,North America,35801
12000,Starbucks,Licensed,Huntsville,AL,US,-86.55,34.68,North America,35802
12001,Starbucks,Company Owned,Huntsville,AL,US,-86.57,34.69,North America,35802
12002,Starbucks,Company Owned,Huntsville,AL,US,-86.58,34.72,North America,35801
12003,Starbucks,Licensed,Huntsville,AL,US,-86.71,34.75,North America,35806
12004,Starbucks,Licensed,Huntsville,AL,US,-86.68,34.74,North America,35806
12005,Starbucks,Company Owned,Huntsville,AL,US,-86.6,34.74,North America,35801
12006,Starbucks,Company Owned,Madison,AL,US,-86.74,34.75,North America,35758
12007,Starbucks,Licensed,Madison,AL,US,-86.75,34.71,North America,35758
12008,Starbucks,Licensed,Madison,AL,US,-86.76,34.75,North America,35758
