Zip Code,Count Starbucks
01035,1
01040,1
01056,2
01201,1
01331,1
01460,1
01506,1
01532,1
01545,1
01570,1
01590,2
01605,1
01701,1
01748,2
01752,1
01757,1
01760,1
01803,2
01854,1
01887,1
01889,1
01905,1
01923,1
01970,1
02038,2
02052,1
02081,1
02090,2
02108,1
02109,1
02110,1
02115,1
02116,2
02125,1
02127,2
02128,7
02134,1
02138,3
02145,1
02184,2
02210,3
02215,4
02301,1
02364,1
02451,1
02462,1
02464,1
02467,3
02478,1
02494,1
02645,1
02649,2
02653,1
02747,1
02760,2
02771,1
02777,1
02903,1
02904,1
03053,1
03054,1
03060,1
03079,1
03755,1
03904,1
04005,1
04011,1
04074,1
04101,1
04106,2
04330,1
04401,1
05201,1
05255,1
05402,1
05403,1
05641,1
06053,3
06066,1
06082,1
06106,1
06110,1
06117,1
06268,1
06333,2
06338,2
06340,1
06353,1
06360,1
06385,1
06415,1
06460,1
06478,1
06492,1
06608,1
06708,1
06790,1
06807,1
06810,1
06824,1
06854,1
06880,1
07004,1
07005,1
07014,1
07016,2
07020,1
07024,2
07033,1
07041,1
07047,1
07059,1
07069,1
07070,1
07078,1
07083,1
07094,1
07095,2
07102,1
07114,2
07302,1
07410,1
07450,1
07457,1
07462,1
07470,3
07601,1
07604,1
07624,1
07643,1
07645,1
07652,6
07656,1
07657,1
07675,1
07702,1
07712,2
07719,2
07724,1
07726,1
07728,1
07731,1
07738,1
07751,1
07753,1
07755,1
07834,1
07840,1
07927,1
07928,1
07930,1
07936,1
07960,2
07974,1
08002,3
08005,1
08012,3
08016,1
08034,2
08037,1
08043,1
08050,1
08053,1
08054,2
08057,1
08069,2
08081,2
08096,1
08205,1
08226,1
08240,1
08401,1
08512,3
08540,1
08620,1
08648,2
08701,1
08731,1
08755,1
08807,1
08812,1
08822,1
08830,1
08837,1
08844,1
08850,1
08852,1
08854,2
08865,2
08876,1
08879,1
08889,1
08901,2
08902,1
10001,15
10002,1
10003,10
10004,6
10005,6
10006,3
10007,5
10009,1
10010,9
10011,8
10012,4
10013,7
10014,5
10016,9
10017,18
10018,7
10019,20
10021,4
10022,14
10023,9
10024,4
10025,7
10026,2
10027,3
10028,6
10029,1
10032,1
10033,1
10035,1
10036,13
10038,4
10039,1
10040,1
10044,1
10065,5
10075,2
10103,1
10105,1
10107,1
10112,2
10118,1
10119,2
10128,5
10166,1
10169,1
10173,1
10205,1
10279,1
10281,1
10282,1
10306,2
10309,2
10310,1
10312,1
10314,3
10402,1
10451,2
10458,1
10461,2
10462,1
10463,3
10465,2
10468,1
10471,1
10502,1
10510,1
10512,1
10514,1
10522,1
10530,2
10538,1
10543,1
10547,1
10549,2
10550,1
10562,1
10570,1
10573,1
10577,1
10580,1
10583,3
10589,1
10598,1
10601,2
10602,1
10603,1
10704,2
10706,1
10707,1
10708,2
10710,2
10801,2
10804,1
10853,1
10901,1
10917,1
10940,1
10941,1
10950,1
10954,2
10956,1
10960,1
10974,1
10994,2
10996,1
11003,1
11010,1
11021,2
11030,2
11040,2
11050,2
11052,1
11061,1
11102,1
11103,1
11104,1
11105,1
11106,2
11201,11
11204,1
11205,1
11209,3
11210,2
11211,2
11214,2
11215,2
11217,4
11222,1
11224,1
11229,1
11234,3
11235,1
11238,1
11239,1
11354,2
11355,1
11356,2
11361,1
11362,1
11365,1
11372,1
11373,3
11374,2
11375,4
11377,1
11385,2
11414,1
11415,2
11426,1
11430,7
11432,1
11435,1
11510,1
11516,1
11520,1
11530,4
11542,2
11548,2
11552,1
11553,1
11557,1
11558,1
11561,2
11563,1
11566,2
11570,1
11572,2
11577,1
11581,2
11590,3
11701,2
11703,1
